WEEK,cluster,expected_profit,expected_sales_qty,b_tilde_t,default_sales_qty
220,5,142.3928612787848,399.375275296068,29.797771004752818,220.81421688634057
221,5,152.86023457476284,428.7335595117584,31.988220650147284,237.04638482264676
222,5,127.1147711374779,356.5241702520002,26.600609101184403,197.12188090984424
223,5,107.03774103980933,300.21327551771145,22.399199424230375,165.9876397786093
224,5,118.09310984636306,331.22073558955134,24.712695656501523,183.13163550624168
225,5,122.59346747839486,343.8430788171696,25.654460748897733,190.11051729358044
226,5,138.32421191196133,387.9637624830981,28.94634712688108,214.50480210492634
227,5,98.54746046320436,276.4002268004464,20.622485099398787,152.82142737279355
228,5,101.64069258432843,285.0759456450162,21.269788774470953,157.6182242229981
229,5,112.95204045681562,316.80136102029684,23.636852338139178,175.15917676767714
230,5,118.897131647783,333.47580951251615,24.880948877248542,184.37846377309205
231,5,137.5391201677558,385.761782491553,28.782055295103362,213.28732942319368
232,5,129.55460946666366,363.3672879170684,27.111180650690372,200.9054342786724
233,5,137.48015944481048,385.59641286033354,28.769716908861113,213.19589670846833
234,5,113.38679165657376,318.02072608206606,23.72783033084255,175.83336257202754
235,5,128.421615909581,360.18953300923874,26.87408531978251,199.14845655663157
236,5,128.93854420151877,361.639383634101,26.982260060641764,199.95007761365318
237,5,143.59527017195967,402.7477223304033,30.049392501302123,222.67883970337738
238,5,134.6165322071659,377.56467653515017,28.170461385065963,208.7551571920619
239,5,110.09903373490289,308.7994125043905,23.039819311264765,170.7349069032125
240,5,147.39924405452217,413.41688862795417,30.845429196138497,228.57781178941187
241,5,132.42976593210778,371.4313607546658,27.712848832583276,205.36405262260578
242,5,100.27926258104885,281.25748538322273,20.98488980473047,155.507001108862
243,5,117.53826112911086,329.6645279453604,24.596585516776244,182.27120975251967
244,5,136.08921210376266,381.6951640739517,28.47864100817347,211.03889989637202
245,5,117.08133985508918,328.38298153943657,24.5009681145538,181.5626439410337
246,5,123.19672440304237,345.5350590062864,25.780701007968602,191.04601156064558
247,5,123.02703888537546,345.05913486427977,25.745191852854703,190.78287354681484
248,5,146.5008319253434,410.89707416395794,30.657423430591365,227.18460872456583
249,5,156.288968069743,438.35027323726996,32.70573285267065,242.36345686408632
250,5,156.64303741020555,439.34334647880183,32.77982699638093,242.91252613227545
251,5,145.1952023808807,407.23511980703563,30.38420151599857,225.15991757913156
252,5,123.79791866063191,347.2212539459411,25.906509624047715,191.97830716868373
253,5,112.76344018389673,316.27238586493127,23.59738499621345,174.86670689808446
254,5,114.45171125397891,321.0075510785045,23.950680198574474,177.48477532429712
255,5,133.08666784270815,373.27380130282563,27.850315082849377,206.38273628172803
256,5,124.81043013328075,350.0610876602019,26.118392331725047,193.54844857825663
257,5,146.91374561531765,412.0551906392222,30.743831607715464,227.82493024261439
258,5,177.1575486135193,496.88126295726215,37.072785938430485,274.7251864404134
259,5,140.69547272687763,394.6145378959318,29.442567837110914,218.1820096220494
260,5,177.3464095451436,497.4109691931138,37.11230782696998,275.01806052372433
261,5,186.1791189993372,522.1844426537831,38.96068035986178,288.71529087359244
262,5,147.81889438767215,414.5938996510119,30.933247113532474,229.22858008529698
263,5,163.16053084358953,457.62323572902125,34.143707004892946,253.0194598340773
264,5,190.9863587475172,535.6675111208513,39.96666498503734,296.1700668423187
265,5,229.68434231824557,644.2053809491964,48.06477919125882,356.18055374812536
266,5,217.50458878645773,610.0443115240064,45.51598915097739,337.29293035298343
267,5,140.26562882248075,393.4089365328358,29.352616767120608,217.5154337538468
268,5,125.87639324720294,353.0508394515128,26.341460570419827,195.20147955267896
269,5,100.48272796245679,281.8281533365404,21.027467886160537,155.82252288752133
270,5,113.27970967162776,317.720388713795,23.705421872739365,175.66730632148145
271,5,171.64910200629348,481.4314899808814,35.92006361007819,266.1830213844464
272,5,133.2419561127649,373.70934487605814,27.882811405132102,206.6235479167796
273,5,143.03664161029153,401.1809131968495,29.93249137432278,221.81255239608333
274,5,118.94571543178516,333.6120745045708,24.891115738545082,184.45380455999293
275,5,100.15893961223927,280.9200104679692,20.95971047875163,155.3204115432579
276,5,110.50383297349616,309.93477003496434,23.124529421772948,171.36264502198767
277,5,114.71497423938385,321.74593589869227,24.005771795742177,177.89302760208184
278,5,129.43477929572532,363.0311951728291,27.08610444981194,200.71960891413184
279,5,92.214288582591,258.6373119983816,19.297177048577453,143.00032836077034
280,5,95.10873353459235,266.75548406932296,19.902881625977145,147.48885812031682
